"Some top phrases containing 5 words (without punctuation marks)","Occurrences"
"om ervoor te zorgen dat",6
"de heer segers christenunie ik",4
"de heer van der staaij",4
"de heer bontes groep bontes/van",3
"de heer samsom pvda u",3
"de heer van haersma buma",3
"heer van der staaij sgp",3
"opvang in de regio en",3
"heer bontes groep bontes/van klaveren",3
"in het kader van het",3
"heer van haersma buma cda",3
"wie we zeker weten dat",2
"een meerderheid van de kamer",2
"het toch van belang dat",2
"ik schaam me voor hen",2
"het eens over het doel",2
"dat als het openbaar ministerie",2
"ik kom bij het volgende",2
"is een heel simpele vraag",2
"gebrekkige controle aan de buitengrenzen",2
"vervolgens heeft de heer samsom",2
"zit dit hoe zat dat",2
"formele taallessen als mensen nog",2
"ik ben het met de",2
"moment dat de asielzoeker eraan",2
"in rotterdam op de erasmusbrug",2
"van het recht op demonstratie",2
"om te voorkomen dat als",2
"op verzoek van het openbaar",2
"mensen die in dit land",2
