"Some top phrases containing 4 words (without punctuation marks)","Occurrences"
"de heer samsom pvda",13
"de heer klaver groenlinks",11
"de heer pechtold d66",9
"ervoor te zorgen dat",7
"om ervoor te zorgen",6
"de heer segers christenunie",6
"zegt de minister president",5
"om te voorkomen dat",5
"in de top drie",5
"heer van der staaij",4
"de afspraken met turkije",4
"de heer van der",4
"de heer roemer sp",4
"heer segers christenunie ik",4
"zeker weten dat ze",4
"in het kader van",4
"de opvang van vluchtelingen",4
"op het griekse vasteland",4
"was de minister president",3
"van haersma buma cda",3
"het kader van het",3
"ik ben het met",3
"controle aan de buitengrenzen",3
"in het dreigingsbeeld terrorisme",3
"van der staaij sgp",3
"maak ik me zorgen",3
"ik de minister president",3
"bontes groep bontes/van klaveren",3
"dan is het toch",3
"het gaat erom dat",3
