"Some top phrases containing 6 words (without punctuation marks)","Occurrences"
"de heer van haersma buma cda",3
"de heer van der staaij sgp",3
"de heer bontes groep bontes/van klaveren",3
"van formele taallessen als mensen nog",2
"dan is het toch van belang",2
"het moment dat de asielzoeker eraan",2
"ik ben het met de heer",2
"van wie we zeker weten dat",2
"moment dat de asielzoeker eraan toe",2
"de heer klaver groenlinks dit is",2
"de heer klaver groenlinks dat is",2
"zijn het eens over het doel",2
"voorstander van formele taallessen als mensen",2
"is het toch van belang dat",2
"hoe zit dit hoe zat dat",2
"een meerderheid van de kamer vindt",2
"omdat andere landen niet zo hard",2
"roept dan kan er maar één",2
"oprotten roept dan kan er maar",2
"meerderheid van de kamer vindt dat",2
"ik kom bij het volgende onderwerp",2
"het toch van belang dat je",2
"wie we zeker weten dat ze",2
"op verzoek van het openbaar ministerie",2
"mensen die in dit land wonen",2
"mensen van wie we zeker weten",2
"geen voorstander van formele taallessen als",2
"vervolgens heeft de heer samsom er",2
"vragen hoe zit dit hoe zat",2
"kan er maar één reactie zijn",2
