"Some top phrases containing 2 words (without punctuation marks)","Occurrences"
"de heer",113
"minister rutte",57
"van de",54
"in de",39
"dat de",37
"dat is",36
"minister president",33
"het is",30
"de minister",29
"dat het",28
"en dat",26
"met de",25
"ik heb",24
"in het",24
"heer samsom",24
"over de",23
"aan de",23
"dat je",20
"dat er",20
"de premier",20
"is een",20
"van het",19
"is het",19
"we hebben",17
"voor de",17
"dat wij",17
"heer klaver",16
"de voorzitter",16
"mensen die",16
"heer wilders",15
