"Some top phrases containing 3 words (without punctuation marks)","Occurrences"
"de minister president",27
"de heer samsom",24
"de heer klaver",16
"de heer wilders",15
"de heer pechtold",13
"heer samsom pvda",13
"minister rutte ik",12
"heer klaver groenlinks",11
"de heer bontes",11
"heer pechtold d66",9
"de heer roemer",9
"de heer segers",9
"met de heer",8
"het is een",8
"te zorgen dat",7
"in dit land",7
"het openbaar ministerie",7
"de heer van",7
"op dit moment",7
"ervoor te zorgen",7
"en dat is",6
"ik denk dat",6
"heer segers christenunie",6
"vanaf dag één",6
"in de regio",6
"in de top",6
"de heer zijlstra",6
"om ervoor te",6
"zegt de minister",5
"de opvang van",5
