"Some top phrases containing 2 words (without punctuation marks)","Occurrences"
"de heer",1900
"van de",1203
"in de",856
"dat is",690
"dat de",519
"voor de",441
"dat het",409
"het is",396
"van het",371
"aan de",364
"over de",337
"en de",327
"minister rutte",326
"met de",325
"in het",325
"op de",322
"en dat",317
"het kabinet",311
"heer zijlstra",310
"heer roemer",282
"is het",278
"dat we",276
"is een",273
"met een",271
"de minister",268
"dat er",262
"als je",260
"is dat",252
"ik heb",248
"minister president",241
