"Some top phrases containing 4 words (without punctuation marks)","Occurrences"
"de heer zijlstra vvd",163
"de heer pechtold d66",139
"de heer roemer sp",138
"de heer van haersma",106
"heer van haersma buma",106
"de heer wilders pvv",101
"heer van der staaij",100
"de heer van der",100
"de heer klaver groenlinks",93
"van haersma buma cda",91
"de heer samsom pvda",78
"de heer segers christenunie",69
"de partij van de",59
"partij van de arbeid",57
"van der staaij sgp",50
"heer zijlstra vvd ik",43
"als het gaat om",42
"ervoor te zorgen dat",42
"om ervoor te zorgen",37
"heer kuzu groep kuzu/öztürk",34
"de heer kuzu groep",34
"de vrijheid van meningsuiting",33
"de voorzitter tot slot",31
"het gaat om de",27
"van het eigen risico",27
"orde van de dag",25
"heer klaver groenlinks ik",25
"dat de minister president",25
"de orde van de",25
"kamer gehoord de beraadslaging",24
