"Some top phrases containing 5 words (without punctuation marks)","Occurrences"
"de heer van haersma buma",106
"de heer van der staaij",100
"heer van haersma buma cda",91
"de partij van de arbeid",55
"heer van der staaij sgp",50
"de heer zijlstra vvd ik",43
"om ervoor te zorgen dat",37
"de heer kuzu groep kuzu/öztürk",34
"de heer klaver groenlinks ik",25
"de orde van de dag",25
"gaat over tot de orde",24
"over tot de orde van",24
"tot de orde van de",24
"voorzitter deze motie is voorgesteld",24
"en gaat over tot de",24
"de kamer gehoord de beraadslaging",24
"de voorzitter deze motie is",24
"deze motie is voorgesteld door",24
"de heer roemer sp ik",23
"de heer pechtold d66 ik",23
"van haersma buma cda ik",21
"de heer samsom pvda ik",20
"de heer segers christenunie ik",20
"de heer wilders pvv ik",19
"wordt de indiening ervan voldoende",19
"de heer bontes groep bontes/van",19
"blijkt wordt de indiening ervan",19
"de indiening ervan voldoende ondersteund",19
"heer bontes groep bontes/van klaveren",19
"mij blijkt wordt de indiening",19
