"Some top phrases containing 3 words (without punctuation marks)","Occurrences"
"de heer zijlstra",310
"de heer roemer",282
"de heer pechtold",233
"de heer van",214
"de heer wilders",211
"de minister president",206
"heer zijlstra vvd",163
"de heer samsom",154
"de heer klaver",153
"heer pechtold d66",139
"heer roemer sp",138
"de heer segers",127
"van der staaij",121
"van haersma buma",113
"het eigen risico",110
"heer van haersma",106
"heer wilders pvv",101
"heer van der",100
"dat is een",95
"heer klaver groenlinks",93
"haersma buma cda",91
"van de heer",91
"dat de heer",81
"het gaat om",80
"ik denk dat",78
"heer samsom pvda",78
"de vrijheid van",76
"heer segers christenunie",69
"ik vind het",68
"in dit land",66
