"Some top phrases containing 7 words (without punctuation marks)","Occurrences"
"gaat over tot de orde van de",24
"over tot de orde van de dag",24
"en gaat over tot de orde van",24
"de voorzitter deze motie is voorgesteld door",24
"de heer van haersma buma cda ik",21
"mij blijkt wordt de indiening ervan voldoende",19
"naar mij blijkt wordt de indiening ervan",19
"blijkt wordt de indiening ervan voldoende ondersteund",19
"deze motie is voorgesteld door de leden",16
"voorzitter deze motie is voorgesteld door de",16
"de kamer gehoord de beraadslaging constaterende dat",12
"de kamer gehoord de beraadslaging overwegende dat",12
"de heer van der staaij sgp het",9
"deze motie is voorgesteld door het lid",8
"voorzitter deze motie is voorgesteld door het",8
"de heer van der staaij sgp ik",8
"de heer van haersma buma cda dat",8
"de heer van haersma buma cda de",7
"ik ben het eens met de heer",7
"kamer gehoord de beraadslaging constaterende dat het",6
"daarom dien ik de volgende motie in",6
"dan geef ik nu het woord aan",6
"kamer gehoord de beraadslaging overwegende dat de",6
"de voorzitter tot slot op dit punt",6
"heb ik het nog niet eens over",5
"ik nu het woord aan de heer",5
"geef ik nu het woord aan de",5
"de heer van haersma buma cda het",5
"dan heb ik het nog niet eens",5
"de heer pechtold d66 ik vind het",4
