"Some top phrases containing 8 words (without punctuation marks)","Occurrences"
"en gaat over tot de orde van de",24
"gaat over tot de orde van de dag",24
"naar mij blijkt wordt de indiening ervan voldoende",19
"mij blijkt wordt de indiening ervan voldoende ondersteund",19
"de voorzitter deze motie is voorgesteld door de",16
"voorzitter deze motie is voorgesteld door de leden",16
"de voorzitter deze motie is voorgesteld door het",8
"voorzitter deze motie is voorgesteld door het lid",8
"de kamer gehoord de beraadslaging constaterende dat het",6
"de kamer gehoord de beraadslaging overwegende dat de",6
"dan heb ik het nog niet eens over",5
"geef ik nu het woord aan de heer",5
"dan geef ik nu het woord aan de",5
"de heer van haersma buma cda dat is",4
"deze motie is voorgesteld door de leden pechtold",4
"deze motie is voorgesteld door de leden van",4
"met de partij van de arbeid in zee",4
"de heer van der staaij sgp het is",4
"de heer van der staaij sgp ik heb",4
"de heer van haersma buma cda ik vind",4
"heer van haersma buma cda de heer zijlstra",4
"de heer van haersma buma cda de heer",4
"en dan heb ik het nog niet eens",4
"je niet wordt beoordeeld op je afkomst maar",3
"de heer van haersma buma cda ik kom",3
"de heer bontes groep bontes/van klaveren dat is",3
"beoordeeld op je afkomst maar op je inzet",3
"niet wordt beoordeeld op je afkomst maar op",3
"het besteedbaar inkomen van 80% van de mensen",3
"wordt beoordeeld op je afkomst maar op je",3
