"Some top phrases containing 7 words (without punctuation marks)","Occurrences"
"over tot de orde van de dag",24
"en gaat over tot de orde van",24
"de voorzitter deze motie is voorgesteld door",24
"gaat over tot de orde van de",24
"mij blijkt wordt de indiening ervan voldoende",19
"naar mij blijkt wordt de indiening ervan",19
"blijkt wordt de indiening ervan voldoende ondersteund",19
"deze motie is voorgesteld door de leden",16
"voorzitter deze motie is voorgesteld door de",16
"de kamer gehoord de beraadslaging constaterende dat",12
"de kamer gehoord de beraadslaging overwegende dat",12
"deze motie is voorgesteld door het lid",8
"voorzitter deze motie is voorgesteld door het",8
"kamer gehoord de beraadslaging overwegende dat de",6
"kamer gehoord de beraadslaging constaterende dat het",6
"daarom dien ik de volgende motie in",6
"motie is voorgesteld door de leden van",4
"motie is voorgesteld door de leden pechtold",4
"is voorgesteld door de leden van der",3
"voorgesteld door de leden van der staaij",3
"door de leden klaver segers pechtold en",3
"voorgesteld door de leden klaver segers pechtold",3
"motie is voorgesteld door de leden klaver",3
"is voorgesteld door de leden klaver segers",3
"is voorgesteld door de leden pechtold klaver",3
"wordt beoordeeld op je afkomst maar op",2
"2016 een antwoord te formuleren op de",2
"voor het anders beleggen van de opbrengsten",2
"zelf geen godsdienstvrijheid en vrijheid van meningsuiting",2
"leden van der staaij segers van haersma",2
