"Some top phrases containing 2 words (without punctuation marks)","Occurrences"
"van de",183
"de heer",148
"in de",111
"over de",71
"dat de",70
"van het",70
"de motie",69
"dat het",63
"dat is",57
"de kamer",57
"het kabinet",56
"voor de",54
"deze motie",47
"het is",46
"en de",44
"de premier",41
"in het",40
"om de",39
"gaat over",38
"de voorzitter",36
"aan de",36
"op de",35
"de minister",35
"met de",33
"door de",33
"van der",33
"minister rutte",32
"de regering",32
"minister president",31
"der staaij",31
