"Some top phrases containing 4 words (without punctuation marks)","Occurrences"
"voorzitter deze motie is",24
"gaat over tot de",24
"de orde van de",24
"kamer gehoord de beraadslaging",24
"deze motie is voorgesteld",24
"de kamer gehoord de",24
"orde van de dag",24
"en gaat over tot",24
"de voorzitter deze motie",24
"tot de orde van",24
"over tot de orde",24
"motie is voorgesteld door",24
"heer van der staaij",21
"de heer van der",21
"indiening ervan voldoende ondersteund",19
"mij blijkt wordt de",19
"wordt de indiening ervan",19
"naar mij blijkt wordt",19
"de heer pechtold d66",19
"blijkt wordt de indiening",19
"de indiening ervan voldoende",19
"is voorgesteld door de",16
"voorgesteld door de leden",16
"de heer zijlstra vvd",13
"gehoord de beraadslaging constaterende",12
"de beraadslaging constaterende dat",12
"motie op stuk nr",12
"de motie op stuk",12
"gehoord de beraadslaging overwegende",12
"de beraadslaging overwegende dat",12
