"Some top phrases containing 5 words (without punctuation marks)","Occurrences"
"tot de orde van de",24
"voorzitter deze motie is voorgesteld",24
"en gaat over tot de",24
"de kamer gehoord de beraadslaging",24
"de orde van de dag",24
"gaat over tot de orde",24
"de voorzitter deze motie is",24
"deze motie is voorgesteld door",24
"over tot de orde van",24
"de heer van der staaij",21
"wordt de indiening ervan voldoende",19
"blijkt wordt de indiening ervan",19
"de indiening ervan voldoende ondersteund",19
"mij blijkt wordt de indiening",19
"naar mij blijkt wordt de",19
"is voorgesteld door de leden",16
"motie is voorgesteld door de",16
"gehoord de beraadslaging constaterende dat",12
"kamer gehoord de beraadslaging overwegende",12
"gehoord de beraadslaging overwegende dat",12
"de motie op stuk nr",12
"kamer gehoord de beraadslaging constaterende",12
"heer van der staaij sgp",11
"motie is voorgesteld door het",8
"is voorgesteld door het lid",8
"daarom dien ik de volgende",6
"de beraadslaging constaterende dat het",6
"ik de volgende motie in",6
"dien ik de volgende motie",6
"de beraadslaging overwegende dat de",6
